zip_zipcode	zip_street	area	Latitude	Longitude		
12227300	Rua Fênix	Jardim da Granja	-23,2038	-45,8578	-23,2038	-45,8578
12227310	Rua Sagitarios	Jardim da Granja	-23,2042	-45,856	-23,2042	-45,856
12227320	Rua Aquarius	Jardim da Granja	-23,2177	-45,9053	-23,2177	-45,9053
12227330	Rua Áries	Jardim da Granja	-23,2034	-45,857	-23,2034	-45,857
12227340	Rua Taurus	Jardim da Granja	-23,2029	-45,8574	-23,2029	-45,8574
12227350	Rua Orion	Jardim da Granja	-23,2044	-45,8595	-23,2044	-45,8595
12227360	Praça Hércules	Jardim da Granja	-23,2054	-45,8603	-23,2054	-45,8603
12227370	Rua Capricórnio	Jardim da Granja	-23,2053	-45,857	-23,2053	-45,857
12227380	Rua Netuno	Jardim da Granja	-23,2052	-45,8555	-23,2052	-45,8555
12227390	Rua Hidra	Jardim da Granja	-23,2054	-45,859	-23,2054	-45,859
12227400	Rua Lupus	Jardim da Granja	-23,2052	-45,8584	-23,2052	-45,8584
12227410	Rua Lince	Jardim da Granja	-23,2045	-45,8581	-23,2045	-45,8581
12227420	Rua Vênus	Jardim da Granja	-23,2077	-45,8578	-23,2077	-45,8578
12227430	Praça Marte	Jardim da Granja	-23,2077	-45,857	-23,2077	-45,857
12227440	Rua Plutão	Jardim da Granja	-23,2077	-45,8559	-23,2077	-45,8559
12227450	Rua Vesta	Jardim da Granja	-23,2067	-45,8558	-23,2067	-45,8558
12227460	Rua Jupiter	Jardim da Granja	-23,2067	-45,8558	-23,2067	-45,8558
12227470	Rua Juno	Jardim da Granja	-23,2072	-45,8547	-23,2072	-45,8547
12227480	Rua Saturno	Jardim da Granja	-23,2079	-45,8544	-23,2079	-45,8544
12227490	Rua Ceres	Jardim da Granja	-23,2063	-45,8545	-23,2063	-45,8545
12227500	Rua Palas	Jardim da Granja	-23,2065	-45,8538	-23,2065	-45,8538
12227510	Praça Columba	Jardim da Granja	-23,2062	-45,8532	-23,2062	-45,8532
12227520	Rua Urano	Jardim da Granja	-23,2061	-45,856	-23,2061	-45,856
12227530	Rua Mercúrio	Jardim da Granja	-23,2069	-45,8577	-23,2069	-45,8577
